iter	Passed	Remaining
401	16826	43028
402	16869	42990
403	16909	42943
404	16951	42903
405	16993	42860
406	17031	42809
407	17067	42752
408	17109	42710
409	17151	42669
410	17191	42622
411	17233	42580
412	17274	42537
413	17317	42497
414	17357	42453
415	17397	42406
416	17438	42362
417	17476	42312
418	17514	42259
419	17554	42215
420	17597	42175
421	17641	42137
422	17686	42104
423	17730	42068
424	17768	42016
425	17809	41974
426	17850	41929
427	17891	41885
428	17934	41846
429	17977	41807
430	18021	41770
431	18060	41722
432	18101	41680
433	18146	41645
434	18187	41600
435	18229	41559
436	18273	41523
437	18314	41478
438	18355	41436
439	18395	41390
440	18434	41342
441	18478	41305
442	18520	41263
443	18566	41230
444	18607	41188
445	18650	41148
446	18692	41106
447	18734	41065
448	18777	41026
449	18820	40986
450	18862	40945
451	18902	40900
452	18943	40855
453	18984	40813
454	19028	40776
455	19067	40727
456	19108	40683
457	19148	40638
458	19189	40595
459	19233	40556
460	19278	40521
461	19322	40484
462	19364	40442
463	19406	40402
464	19446	40355
465	19485	40309
466	19527	40267
467	19567	40222
468	19606	40174
469	19643	40122
470	19675	40061
471	19716	40016
472	19759	39977
473	19801	39937
474	19837	39883
475	19880	39843
476	19921	39800
477	19959	39751
478	20002	39713
479	20045	39673
480	20084	39626
481	20126	39584
482	20165	39538
483	20206	39495
484	20248	39453
485	20287	39407
486	20329	39364
487	20370	39321
488	20412	39280
489	20452	39236
490	20495	39196
491	20540	39160
492	20582	39119
493	20626	39082
494	20667	39039
495	20708	38996
496	20750	38953
497	20791	38910
498	20838	38879
499	20880	38837
500	20921	38794
501	20964	38755
502	21002	38706
503	21047	38670
504	21088	38627
505	21128	38583
506	21171	38543
507	21211	38497
508	21255	38459
509	21292	38409
510	21336	38372
511	21373	38322
512	21417	38283
513	21458	38241
514	21499	38197
515	21536	38148
516	21579	38108
517	21620	38065
518	21663	38025
519	21703	37981
520	21743	37936
521	21788	37899
522	21828	37854
523	21870	37813
524	21913	37773
525	21955	37734
526	21995	37688
527	22043	37657
528	22086	37618
529	22123	37568
530	22166	37528
531	22208	37487
532	22254	37452
533	22294	37408
534	22334	37363
535	22370	37311
536	22410	37266
537	22448	37220
538	22490	37178
539	22527	37129
540	22576	37098
541	22620	37061
542	22659	37014
543	22699	36970
544	22738	36924
545	22780	36882
546	22821	36840
547	22866	36803
548	22909	36764
549	22953	36725
550	22996	36685
551	23042	36650
552	23087	36614
553	23130	36574
554	23172	36533
555	23215	36493
556	23256	36449
557	23297	36407
558	23339	36365
559	23383	36328
560	23427	36288
561	23467	36244
562	23510	36204
563	23557	36172
564	23599	36130
565	23639	36086
566	23681	36044
567	23723	36002
568	23764	35960
569	23804	35916
570	23842	35868
571	23887	35830
572	23927	35787
573	23969	35745
574	24009	35700
575	24048	35655
576	24091	35616
