iter	RMSE
0	529.6801572
1	522.2312346
2	515.1328061
3	508.1716127
4	501.558421
5	495.0877069
6	488.858734
7	482.8662385
8	477.0453659
9	471.6023282
10	466.1786359
11	460.9087649
12	455.6195587
13	450.5364074
14	445.7184632
15	441.0163675
16	436.3567866
17	432.0930488
18	427.8309595
19	423.8223491
20	419.7142681
21	415.9252495
22	412.1474846
23	408.4137413
24	404.7807814
25	401.3393025
26	397.9892367
27	394.9599002
28	391.6859961
29	388.7195856
30	385.8475631
31	383.0191713
32	380.0823899
33	377.3202698
34	374.6014242
35	372.0037045
36	369.5087192
37	367.0432509
38	364.7616448
39	362.4310941
40	360.148147
41	358.0067319
42	355.9120824
43	353.8497293
44	351.8417197
45	349.8787131
46	347.931247
47	346.1686857
48	344.5033424
49	342.8549616
50	341.1473173
51	339.5115982
52	337.8806074
53	336.3305525
54	334.7972466
55	333.3145912
56	331.9531303
57	330.6433521
58	329.275633
59	327.8358439
60	326.4850231
61	325.2115765
62	323.9235505
63	322.6336406
64	321.4299772
65	320.2157086
66	319.1205913
67	317.9849739
68	316.8363609
69	315.7246158
70	314.6821394
71	313.6581885
72	312.638735
73	311.6173947
74	310.6190778
75	309.6124087
76	308.7163388
77	307.8114244
78	306.8938615
79	306.0313096
80	305.1693552
81	304.3738578
82	303.5894629
83	302.7410738
84	301.9694457
85	301.165654
86	300.3459969
87	299.6479377
88	298.9520193
89	298.2194888
90	297.5507881
91	296.9014832
92	296.239742
93	295.5946509
94	294.9641118
95	294.3101699
96	293.7022966
97	293.1101022
98	292.5027157
99	291.9111562
100	291.3490152
101	290.8540874
102	290.298452
103	289.7783396
104	289.2682852
105	288.7648199
106	288.2471733
107	287.7705632
108	287.3080943
109	286.803202
110	286.2919454
111	285.8132107
112	285.3975153
113	284.9984961
114	284.5275374
115	284.1207839
116	283.7089501
117	283.3229442
118	282.9029525
119	282.5165568
120	282.1639503
121	281.8186281
122	281.4408435
123	281.08645
124	280.7230337
125	280.3755396
126	280.0345431
127	279.6760612
128	279.3054642
129	278.9959381
130	278.6764771
131	278.3745112
132	278.0456918
133	277.7359076
134	277.4293387
135	277.1258184
136	276.8293797
137	276.5590305
138	276.2627926
139	275.9701727
140	275.6777482
141	275.4308505
142	275.1631015
143	274.8772597
144	274.6126285
145	274.3694242
146	274.1142249
147	273.8675474
148	273.6329753
149	273.3922248
150	273.1469949
151	272.9118049
152	272.6729283
153	272.4505748
154	272.2572087
155	272.0158301
156	271.8062491
157	271.6123727
158	271.4067283
159	271.196532
160	270.985415
161	270.8030835
162	270.5968831
163	270.3788314
164	270.1997154
165	270.0465613
166	269.8249494
167	269.6343905
168	269.4447707
169	269.2560836
170	269.0926396
171	268.9432759
172	268.776621
173	268.581976
174	268.414156
175	268.25884
176	268.087057
177	267.928496
178	267.7643331
179	267.6135425
180	267.4569435
181	267.3038505
182	267.1366196
183	266.9757435
184	266.8287031
185	266.6774004
186	266.5317074
187	266.3823268
188	266.2214422
189	266.0890648
190	265.9809263
191	265.8592151
192	265.7260934
193	265.5949966
194	265.4775747
195	265.3619563
196	265.218705
197	265.0728535
198	264.9407764
199	264.8290161
200	264.7029834
201	264.5860294
202	264.4602252
203	264.34273
204	264.2472169
205	264.1290437
206	264.0321323
207	263.9081246
208	263.8047662
209	263.697638
210	263.5800358
211	263.492865
212	263.4016505
213	263.3006286
214	263.1824772
215	263.0987654
